edge_index,raw_timer_ticks,monotonic_timestamp_us
649,2389957384,2389046776
650,2393411740,2392501132
651,2408927468,2408016860
652,2414225940,2413315332
653,2420475332,2419564724
654,2422810112,2421899504
655,2424358308,2423447700
656,2424588684,2423678076
657,2426579604,2425668996
658,2428308496,2427397888
659,2434041200,2433130592
660,2437920952,2437010344
661,2440963392,2440052784
662,2441763584,2440852976
663,2442755468,2441844860
664,2448439756,2447529148
665,2451564240,2450653632
666,2454741576,2453830968
667,2457706716,2456796108
668,2461887372,2460976764
669,2463178524,2462267916
670,2472043692,2471133084
671,2484331640,2483421032
672,2492485508,2491574900
673,2495831456,2494920848
674,2500171464,2499260856
675,2501481508,2500570900
676,2516370788,2515460180
677,2517928640,2517018032
678,2518414744,2517504136
679,2518886776,2517976168
680,2520935312,2520024704
681,2522406520,2521495912
682,2522630620,2521720012
683,2531156284,2530245676
684,2534818920,2533908312
685,2536317988,2535407380
686,2539210536,2538299928
687,2540842864,2539932256
688,2542809832,2541899224
689,2546341712,2545431104
690,2547346492,2546435884
691,2549219776,2548309168
692,2554774580,2553863972
693,2555908872,2554998264
694,2562561384,2561650776
695,2562820656,2561910048
696,2568073236,2567162628
697,2568383996,2567473388
698,2568893316,2567982708
699,2569088720,2568178112
700,2570703552,2569792944
701,2578804356,2577893748
702,2581218476,2580307868
703,2582482892,2581572284
704,2583206344,2582295736
705,2587220380,2586309772
706,2587423064,2586512456
707,2590670900,2589760292
708,2597464564,2596553956
709,2601054580,2600143972
710,2605512080,2604601472
711,2607801904,2606891296
712,2619906096,2618995488
713,2620755416,2619844808
714,2621760484,2620849876
715,2622591268,2621680660
716,2628835840,2627925232
717,2630410784,2629500176
718,2631787780,2630877172
719,2632190940,2631280332
720,2643023956,2642113348
721,2646074624,2645164016
722,2649913764,2649003156
723,2650143068,2649232460
724,2652399220,2651488612
725,2654993696,2654083088
726,2663834104,2662923496
727,2675099656,2674189048
728,2677413504,2676502896
729,2691249692,2690339084
730,2697395496,2696484888
731,2698367820,2697457212
732,2704586224,2703675616
733,2712714744,2711804136
734,2719131208,2718220600
735,2719352620,2718442012
736,2723852048,2722941440
737,2730292308,2729381700
738,2733275244,2732364636
739,2733483844,2732573236
740,2737973372,2737062764
741,2742713300,2741802692
742,2744109448,2743198840
743,2753431188,2752520580
744,2754828488,2753917880
745,2758646380,2757735772
746,2760887468,2759976860
747,2764422116,2763511508
748,2764652816,2763742208
749,2766862460,2765951852
750,2773347096,2772436488
751,2784287256,2783376648
